Timestamp;EURAED=R;EURBAM=R;EURCNY=;EURILS=TRB;EURINR=;EURJOD=R;EURKES=;EURKRW=R;EURKWD=R;EURMAD=;EURMDL=R;EURMKD=R;EURMXN=TRB;EURPHP=R;EURRSD=R;EURSAR=R;EURTHB=;EURTNDX=R;EURTWD=R
2025-11-05 10:00:00+00:00;4,21765;1,96075;8,18495;3,76;101,7771;0,81425;148,325;1659,865;0,353;10,6807;19,685;61,545;21,4424;67,5445;117,21;4,3071;37,3675;3,40155;35,4986
2025-11-05 11:00:00+00:00;4,2179;1,9606;8,18485;3,7632;101,7914;0,8142;148,365;1659,47;0,35275;10,6993;19,68;61,535;21,4495;67,607;117,205;4,3068;37,368;3,40145;35,49895
2025-11-06 10:00:00+00:00;4,2279;1,96075;8,19845;3,7422;102,0164;0,8162;148,735;1666,96;0,3536;10,7218;19,705;61,74;21,393;68,0635;117,21;4,3175;37,2695;3,4043;35,58245
2025-11-06 11:00:00+00:00;4,22765;1,9607;8,19845;3,7406;102,0146;0,81615;148,78;1666,01;0,3536;10,7206;19,705;61,74;21,4029;67,774;117,21;4,31715;37,2555;3,4041;35,57935
2025-11-07 10:00:00+00:00;4,2377;1,96055;8,21875;3,7615;102,2977;0,818;149,065;1683,44;0,35425;10,7103;19,67;61,535;21,3987;68,0955;117,21;4,3271;37,31805;3,40655;35,75705
2025-11-07 11:00:00+00:00;4,2423;1,96085;8,225;3,7603;102,388;0,8189;149,225;1684,13;0,3546;10,7062;19,69;61,535;21,4001;68,257;117,22;4,3318;37,3525;3,4078;35,78885
2025-11-10 10:00:00+00:00;4,2487;1,9608;8,23675;3,7421;102,6031;0,8201;149,395;1681,915;0,35525;10,7145;19,635;61,55;21,2575;68,194;117,19;4,3384;37,4382;3,41475;35,8419
2025-11-10 11:00:00+00:00;4,2467;1,96065;8,23195;3,7401;102,5833;0,81975;149,325;1682,93;0,3551;10,7069;19,63;61,52;21,252;68,1785;117,185;4,3363;37,4233;3,40935;35,8503
2025-11-11 10:00:00+00:00;4,2481;1,96075;8,2356;3,7259;102,4554;0,8201;149,495;1695,915;0,3553;10,72205;19,625;61,545;21,261;68,215;117,175;4,3382;37,48285;3,41475;35,88195
2025-11-11 11:00:00+00:00;4,25065;1,9607;8,23985;3,727;102,5239;0,8206;149,48;1695,71;0,35545;10,7255;19,645;61,55;21,2708;68,2455;117,19;4,3408;37,4795;3,38375;35,91065
