Timestamp;EURUSDFIXMP=WM;EURCHFFIXMP=WM;EURJPYFIXMP=WM;EURGBPFIXMP=WM;EURCZKFIXMP=WM;EURHUFFIXMP=WM
2025-12-31 11:00:00;1,17395;0,9315;183,92275;0,8735;24,196;384,8
2026-01-02 10:00:00;1,1721;0,9303;183,92005;0,8711;24,1805;383,75
2026-01-02 11:00:00;1,17215;0,92985;183,83415;0,87145;24,168;383,6
2026-01-05 10:00:00;1,16825;0,9303;183,33935;0,8691;24,173;384,325
2026-01-05 11:00:00;1,16885;0,92875;183,05945;0,86825;24,1715;384,425
2026-01-06 10:00:00;1,17135;0,92845;183,164;0,86515;24,213;385,125
2026-01-06 11:00:00;1,17125;0,9284;183,2538;0,86545;24,196;385,025
2026-01-07 10:00:00;1,1686;0,93;182,8567;0,86595;24,2295;384,9
2026-01-07 11:00:00;1,1688;0,9304;182,95815;0,8659;24,236;384,775
2026-01-08 10:00:00;1,16785;0,9314;183,06045;0,869;24,2715;384,8
2026-01-08 11:00:00;1,168;0,93085;183,0081;0,8686;24,266;385,075
2026-01-09 10:00:00;1,1643;0,93155;183,6392;0,8682;24,3205;385,875
2026-01-09 11:00:00;1,16465;0,93135;183,63035;0,86865;24,3065;385,725
2026-01-12 10:00:00;1,16825;0,93115;184,44915;0,8683;24,284;386,075
2026-01-12 11:00:00;1,16855;0,93145;184,4615;0,86765;24,298;386,625
2026-01-13 10:00:00;1,16735;0,93115;185,4861;0,86595;24,27;385,975
2026-01-13 11:00:00;1,16655;0,9313;185,28315;0,86585;24,27;385,925
2026-01-14 10:00:00;1,1652;0,9345;184,98135;0,8659;24,2185;385,175
2026-01-14 11:00:00;1,16555;0,93365;184,9553;0,86635;24,22;385,925
2026-01-15 10:00:00;1,1636;0,9314;184,3026;0,8659;24,2455;385,9
2026-01-15 11:00:00;1,16365;0,9314;184,38615;0,867;24,258;385,75
2026-01-16 10:00:00;1,16095;0,93135;183,63905;0,86645;24,2895;385,975
2026-01-16 11:00:00;1,16135;0,9311;183,63845;0,8663;24,2735;385,35
2026-01-19 10:00:00;1,1624;0,92855;183,5953;0,8671;24,2945;386,0
2026-01-19 11:00:00;1,1625;0,92865;183,5413;0,8668;24,283;386,15
2026-01-20 10:00:00;1,17265;0,92705;184,9504;0,87015;24,312;385,425
2026-01-20 11:00:00;1,17305;0,9261;185,1366;0,87025;24,321;385,75
2026-01-21 10:00:00;1,17025;0,92795;184,9229;0,87265;24,357;385,525
2026-01-21 11:00:00;1,1707;0,92755;185,0057;0,8733;24,3415;385,425
2026-01-22 10:00:00;1,16925;0,9276;185,55415;0,86955;24,3275;383,925
2026-01-22 11:00:00;1,16945;0,9279;185,5157;0,8696;24,3275;383,675
2026-01-23 10:00:00;1,17355;0,9283;185,4326;0,86745;24,2635;382,525
2026-01-23 11:00:00;1,1734;0,9276;185,63775;0,8675;24,2505;382,5
2026-01-26 10:00:00;1,18625;0,9207;182,33255;0,8677;24,254;382,3
2026-01-26 11:00:00;1,186;0,9214;182,12805;0,8675;24,2495;381,975
2026-01-27 10:00:00;1,18875;0,9223;182,7763;0,8679;24,2285;382,075
2026-01-27 11:00:00;1,18895;0,92155;182,75945;0,8676;24,234;381,975
2026-01-28 10:00:00;1,19875;0,91945;183,02515;0,86945;24,264;380,175
2026-01-28 11:00:00;1,19885;0,91955;182,92655;0,86915;24,2995;380,475
2026-01-29 10:00:00;1,19555;0,91795;183,31965;0,8661;24,3015;381,475
2026-01-29 11:00:00;1,19415;0,91765;183,2184;0,86635;24,324;381,675
2026-01-30 10:00:00;1,19075;0,91655;183,70895;0,86695;24,3325;381,865
2026-01-30 11:00:00;1,19205;0,91665;183,77235;0,867;24,3345;381,725
2026-02-02 10:00:00;1,18635;0,91895;183,6351;0,8654;24,2915;380,525
2026-02-02 11:00:00;1,18665;0,92075;183,64595;0,866;24,31;380,95
2026-02-03 10:00:00;1,1794;0,9185;183,8272;0,86285;24,294;380,7
2026-02-03 11:00:00;1,17875;0,91775;183,81425;0,86315;24,306;380,625
2026-02-04 10:00:00;1,18155;0,9171;185,0898;0,86185;24,3575;380,9
2026-02-04 11:00:00;1,1813;0,91745;185,1629;0,8614;24,3595;380,8
2026-02-05 10:00:00;1,17815;0,9172;185,34655;0,86855;24,323;379,375
2026-02-05 11:00:00;1,17875;0,9169;185,35845;0,86745;24,313;379,375
2026-02-06 10:00:00;1,1793;0,91805;185,23855;0,8685;24,2235;378,55
2026-02-06 11:00:00;1,17925;0,9172;185,101;0,86845;24,2195;378,425
2026-02-09 10:00:00;1,1862;0,91635;185,8301;0,87215;24,216;377,2
2026-02-09 11:00:00;1,18585;0,91605;185,81085;0,87195;24,2295;377,475
2026-02-10 10:00:00;1,19155;0,91225;185,02985;0,8717;24,2495;377,325
2026-02-10 11:00:00;1,19115;0,9125;184,795;0,87165;24,2455;377,725
2026-02-11 10:00:00;1,1918;0,9125;182,58375;0,8702;24,2505;378,35
2026-02-11 11:00:00;1,1919;0,91295;182,7302;0,8696;24,252;378,725
2026-02-12 10:00:00;1,1886;0,91305;181,7667;0,871;24,248;380,65
2026-02-12 11:00:00;1,1877;0,91235;181,8428;0,8708;24,25;380,075
2026-02-13 10:00:00;1,1861;0,91295;182,07225;0,8706;24,26;378,5
2026-02-13 11:00:00;1,18565;0,91245;181,9617;0,8707;24,261;378,95
2026-02-16 10:00:00;1,1865;0,913;182,19895;0,86955;24,2475;377,625
2026-02-16 11:00:00;1,18665;0,91345;182,19825;0,86935;24,2505;377,6
2026-02-17 10:00:00;1,18455;0,91115;181,12955;0,87155;24,263;378,2
2026-02-17 11:00:00;1,18435;0,91125;181,20555;0,8712;24,2675;377,775
2026-02-18 10:00:00;1,18365;0,91315;181,9566;0,87185;24,263;377,775
2026-02-18 11:00:00;1,18315;0,91335;181,9803;0,8721;24,2585;377,75
2026-02-19 10:00:00;1,18005;0,91255;182,67765;0,87375;24,2425;379,175
2026-02-19 11:00:00;1,17885;0,9121;182,374;0,87405;24,2415;379,425
2026-02-20 10:00:00;1,17665;0,91235;182,8632;0,87365;24,244;379,075
2026-02-20 11:00:00;1,1763;0,9131;182,53235;0,873;24,2385;379,225
2026-02-23 10:00:00;1,1801;0,91375;182,709;0,8736;24,22;379,9
2026-02-23 11:00:00;1,1798;0,91415;182,62715;0,8733;24,233;379,75
2026-02-24 10:00:00;1,17875;0,9124;183,72585;0,87305;24,235;379,075
2026-02-24 11:00:00;1,17855;0,9118;183,68885;0,87335;24,2255;379,05
2026-02-25 10:00:00;1,17865;0,91245;184,5589;0,87185;24,218;376,625
2026-02-25 11:00:00;1,17795;0,9125;184,67315;0,87175;24,219;376,075
2026-02-26 10:00:00;1,1798;0,9131;184,1314;0,8721;24,2455;375,175
2026-02-26 11:00:00;1,1798;0,9139;184,0016;0,8716;24,24;375,275
2026-02-27 10:00:00;1,17945;0,91155;184,0945;0,87465;24,2475;375,75
2026-02-27 11:00:00;1,1799;0,91185;184,0585;0,8756;24,2505;375,35
2026-03-02 10:00:00;1,17345;0,9061;184,2199;0,87745;24,254;379,225
2026-03-02 11:00:00;1,17375;0,9074;184,1966;0,8756;24,2585;378,7
2026-03-03 10:00:00;1,16055;0,91205;182,98975;0,87265;24,3415;385,275
2026-03-03 11:00:00;1,15925;0,9126;182,95285;0,87255;24,3415;387,69
